TestNumber,Account,OrdPerSec,OrdPerSec_Mean,Order,New,Calculated1,Filled,Calculated2,Total
1,100326,1,1.00,8002009,65,4,0,1,72
1,100326,1,1.00,8002010,25,5,0,1,33
1,100326,1,1.00,8002011,23,0,0,0,23
1,100326,1,1.00,8002012,41,108,0,0,149
1,100326,1,1.00,8002013,24,113,0,0,137
1,100326,1,1.00,8002014,7,6,0,0,13
1,100326,1,1.00,8002015,19,10,0,0,29
1,100326,1,1.00,8002016,3,4,0,0,7
1,100326,1,1.00,8002017,55,13,0,0,68
1,100326,1,1.00,8002018,416,0,0,0,416
1,100326,1,1.00,8002019,7,24,0,0,31
1,100326,1,1.00,8002020,21,2,0,0,23
1,100326,1,1.00,8002021,3,3,0,1,9
1,100326,1,1.00,8002022,51,59,0,0,110
1,100326,1,1.00,8002023,28,36,0,16,112
1,100326,1,1.00,8002024,4,5,0,2,15
1,100326,1,1.00,8002025,47,14,0,0,61
1,100326,1,1.00,8002026,27,5,0,0,32
1,100326,1,1.00,8002027,24,2,0,1,29
1,100326,1,1.00,8002028,14,22,0,0,36
1,100326,1,1.00,8002029,2,5,0,1,10
1,100326,1,1.00,8002030,19,21,0,0,40
1,100326,1,1.00,8002031,3,8,0,22,77
1,100326,1,1.00,8002032,12,2,0,0,14
1,100326,1,1.00,8002033,3,8,0,1,14
1,100326,1,1.00,8002034,2,3,0,1,8
1,100326,1,1.00,8002035,3,3,0,2,12
1,100326,1,1.00,8002036,46,0,0,5,61
1,100326,1,1.00,8002037,73,48,0,0,121
1,100326,1,1.00,8002038,52,32,0,93,363
1,100326,1,1.00,8002039,4,14,0,0,18
1,100326,1,1.00,8002040,140,23,0,0,163
1,100326,1,1.00,8002041,52,16,0,0,68
1,100326,1,1.00,8002042,12,45,0,0,57
1,100326,1,1.00,8002043,90,11,0,23,170
1,100326,1,1.00,8002044,3,64,0,0,67
1,100326,1,1.00,8002045,18,4,0,31,115
1,100327,1,1.00,7997994,295,183,0,0,478
1,100327,1,1.00,7997996,21,31,0,0,52
1,100327,1,1.00,7997997,8,12,0,3,29
1,100327,1,1.00,7997999,35,34,0,0,69
1,100327,1,1.00,7998001,23,62,0,0,85
1,100327,1,1.00,8001003,69,52,0,0,121
1,100327,1,1.00,8001005,72,46,0,16,166
1,100327,1,1.00,8001007,4,19,0,1,26
1,100327,1,1.00,8001009,4,13,0,0,17
1,100327,1,1.00,8001011,29,30,0,4,71
1,100327,1,1.00,8001013,66,54,0,0,120
1,100327,1,1.00,8001015,31,139,0,1,173
1,100327,1,1.00,8001017,20,61,0,0,81
1,100327,1,1.00,8001019,2,8,0,1,13
1,100327,1,1.00,8001021,315,87,5,16,455
1,100327,1,1.00,8001023,34,4,0,0,38
1,100327,1,1.00,8001025,3,4,3,0,10
1,100327,1,1.00,8001027,2,3,0,2,11
1,100327,1,1.00,8001029,2,7,0,0,9
1,100327,1,1.00,8001031,4,17,0,0,21
1,100327,1,1.00,8001033,35,0,0,0,35
1,100327,1,1.00,8001035,5,6,0,1,14
1,100327,1,1.00,8001037,34,57,0,56,259
1,100327,1,1.00,8001039,50,126,0,0,176
1,100327,1,1.00,8001041,2,23,0,0,25
1,100327,1,1.00,8001043,10,4,5,0,19
1,100327,1,1.00,8001045,8,3,0,1,14
1,100327,1,1.00,8001047,31,10,0,0,41
1,100327,1,1.00,8001049,422,0,0,0,422
1,100327,1,1.00,8001051,14,51,0,0,65
1,100327,1,1.00,8001053,7,0,0,0,7
1,100327,1,1.00,8001055,2,24,0,1,29
1,100327,1,1.00,8001057,60,43,0,0,103
1,100327,1,1.00,8001059,41,98,0,0,139
1,100327,1,1.00,8001061,40,119,0,0,159
1,100327,1,1.00,8001063,36,38,1,0,75
1,100327,1,1.00,8001065,4,2,0,0,6
1,100327,1,1.00,8001067,8,9,0,0,17
1,100327,1,1.00,8001069,5,74,0,0,79
1,100327,1,1.00,8001071,46,16,0,0,62
1,100327,1,1.00,8001073,23,28,19,0,70
1,100327,1,1.00,8001075,48,0,0,0,48
1,100327,1,1.00,8001077,2,3,0,1,8
1,100327,1,1.00,8001079,24,20,0,0,44
1,100327,1,1.00,8001081,9,3,0,0,12
1,100327,1,1.00,8001083,13,5,0,0,18
1,100327,1,1.00,8001085,77,36,0,0,113
1,100327,1,1.00,8001087,3,6,0,2,15
1,100327,1,1.00,8001089,8,25,0,0,33
1,100327,1,1.00,8001091,515,0,0,0,515
1,100327,1,1.00,8001093,20,12,0,0,32
1,100327,1,1.00,8001095,6,21,0,0,27
1,100327,1,1.00,8001098,75,0,133,0,208
1,100327,1,1.00,8001099,11,15,0,0,26
1,100327,1,1.00,8001102,23,9,0,3,41
1,100328,1,1.00,8000014,248,75,0,0,323
1,100328,1,1.00,8000015,162,143,0,3,314
1,100328,1,1.00,8000016,14,5,0,3,28
1,100328,1,1.00,8000017,309,83,0,0,392
1,100328,1,1.00,8000018,13,4,6,0,23
1,100328,1,1.00,8000019,184,503,0,0,687
1,100328,1,1.00,8000020,91,7,0,0,98
1,100328,1,1.00,8000021,79,66,0,198,739
1,100328,1,1.00,8000022,115,185,0,0,300
1,100328,1,1.00,8000023,68,16,1,1,88
1,100328,1,1.00,8000024,110,46,2,0,158
1,100328,1,1.00,8000025,72,128,0,0,200
1,100328,1,1.00,8000026,11,59,1,1,74
1,100328,1,1.00,8000027,11,0,0,0,11
1,100328,1,1.00,8000028,93,3,0,0,96
1,100328,1,1.00,8000029,36,20,0,0,56
1,100328,1,1.00,8000030,45,26,0,0,71
1,100328,1,1.00,8000031,36,7,0,0,43
1,100328,1,1.00,8000032,11,18,1,0,30
1,100328,1,1.00,8000033,27,12,0,0,39
1,100328,1,1.00,8000034,5,5,0,1,13
1,100328,1,1.00,8000035,33,7,0,0,40
1,100328,1,1.00,8000036,15,8,2,0,25
1,100328,1,1.00,8000037,70,4,0,0,74
1,100328,1,1.00,8000038,13,17,0,0,30
1,100328,1,1.00,8000039,15,13,0,0,28
1,100328,1,1.00,8000040,56,14,0,0,70
1,100328,1,1.00,8000041,54,838,0,0,892
1,100328,1,1.00,8000042,49,105,0,19,211
1,100328,1,1.00,8000043,1,3,0,0,4
1,100328,1,1.00,8000044,31,15,1,0,47
1,100328,1,1.00,8000045,28,60,0,0,88
1,100328,1,1.00,8000046,6,13,1,0,20
1,100328,1,1.00,8000047,4,52,0,0,56
1,100328,1,1.00,8000048,60,19,0,0,79
1,100328,1,1.00,8000049,1,2,0,0,3
1,100328,1,1.00,8000050,2,10,0,0,12
1,100328,1,1.00,8000051,6,6,0,3,21
1,100328,1,1.00,8000052,5,5,0,1,13
1,100328,1,1.00,8000053,5,4,0,0,9
1,100328,1,1.00,8000054,5,1,0,1,9
1,100328,1,1.00,8000055,6,3,0,1,12
1,100328,1,1.00,8000056,50,0,0,0,50
1,100328,1,1.00,8000057,8,3,0,1,14
1,100328,1,1.00,8000058,28,4,0,2,38
1,100328,1,1.00,8000059,7,5,0,2,18
1,100328,1,1.00,8000060,113,0,0,0,113
1,100328,1,1.00,8000061,13,24,0,3,46
1,100328,1,1.00,8000062,3,11,0,0,14
1,100328,1,1.00,8000063,248,53,0,0,301
1,100328,1,1.00,8000064,42,30,0,0,72
1,100328,1,1.00,8000065,6,25,0,0,31
1,100328,1,1.00,8000066,20,21,0,0,41
1,100328,1,1.00,8000067,8,4,0,0,12
1,100328,1,1.00,8000068,9,62,1,11,105
1,100329,1,1.00,7998740,267,77,5,90,619
1,100329,1,1.00,7998742,33,186,0,0,219
1,100329,1,1.00,7998744,39,14,0,0,53
1,100329,1,1.00,7998746,315,69,0,0,384
1,100329,1,1.00,7998748,3,7,0,1,13
1,100329,1,1.00,7998750,107,137,0,0,244
1,100329,1,1.00,7998752,19,107,0,0,126
1,100329,1,1.00,7998754,118,68,0,0,186
1,100329,1,1.00,7998756,151,75,0,0,226
1,100329,1,1.00,7998758,16,91,0,1,110
1,100329,1,1.00,7998760,55,131,0,0,186
1,100329,1,1.00,7998762,79,132,0,0,211
1,100329,1,1.00,7998764,62,4,0,1,69
1,100329,1,1.00,7998766,32,9,0,1,44
1,100329,1,1.00,7998768,81,0,0,62,267
1,100329,1,1.00,7998770,24,0,1,2,31
1,100329,1,1.00,7998772,9,18,0,0,27
1,100329,1,1.00,7998774,6,3,0,0,9
1,100329,1,1.00,7998776,19,93,0,0,112
1,100329,1,1.00,7998778,52,111,0,2,169
1,100329,1,1.00,7998780,2,3,0,0,5
1,100329,1,1.00,7998782,6,10,0,0,16
1,100329,1,1.00,7998784,22,30,0,0,52
1,100329,1,1.00,7998786,4,80,0,0,84
1,100329,1,1.00,7998788,13,19,0,4,44
1,100329,1,1.00,7998790,66,0,0,0,66
1,100329,1,1.00,7998792,48,0,0,0,48
1,100329,1,1.00,7998794,139,17,0,73,375
1,100329,1,1.00,7998796,40,21,0,0,61
1,100329,1,1.00,7998798,4,9,0,0,13
1,100329,1,1.00,7998800,3,4,0,1,10
1,100329,1,1.00,7998802,10,10,0,0,20
1,100329,1,1.00,7998804,3,6,0,1,12
1,100329,1,1.00,7998806,5,14,0,0,19
1,100329,1,1.00,7998808,5,44,0,1,52
1,100329,1,1.00,7998810,12,19,0,0,31
1,100329,1,1.00,7998812,3,8,0,2,17
1,100329,1,1.00,7998814,7,10,23,0,40
1,100329,1,1.00,7998816,9,0,0,0,9
1,100329,1,1.00,7998818,15,22,1,1,41
1,100329,1,1.00,7998820,4,1,0,0,5
1,100329,1,1.00,7998822,41,0,0,0,41
1,100329,1,1.00,7998824,2,64,0,0,66
1,100329,1,1.00,7998826,15,10,0,0,25
1,100329,1,1.00,7998828,5,1,0,0,6
1,100329,1,1.00,7998830,10,2,1,2,19
1,100329,1,1.00,7998832,29,31,0,0,60
1,100329,1,1.00,7998834,22,3,0,1,28
1,100329,1,1.00,7998836,25,13,0,0,38
1,100329,1,1.00,7998838,243,66,0,0,309
1,100329,1,1.00,7998840,35,19,0,0,54
1,100329,1,1.00,7998842,4,4,0,2,14
1,100329,1,1.00,7998844,140,4,0,1,147
1,100329,1,1.00,7998846,3,4,29,23,105
1,100329,1,1.00,7998848,10,43,0,0,53
2,100320,1,1.00,7998851,29,10,0,0,39
